Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K),pH
0.0,0.0820,45.5462,0.0210,1500.2778,300.00,3.20
1.0,0.0821,45.5293,0.0210,1500.5556,300.00,3.20
2.0,0.0821,45.5125,0.0210,1500.8334,300.00,3.20
3.0,0.0821,45.4957,0.0210,1501.1112,300.01,3.20
4.0,0.0822,45.4789,0.0209,1501.3890,300.01,3.20
5.0,0.0822,45.4621,0.0209,1501.6668,300.01,3.20
6.0,0.0822,45.4453,0.0209,1501.9446,300.01,3.20
7.0,0.0822,45.4285,0.0209,1502.2224,300.01,3.20
8.0,0.0823,45.4117,0.0209,1502.5002,300.01,3.20
9.0,0.0823,45.3950,0.0209,1502.7780,300.02,3.20
10.0,0.0823,45.3782,0.0209,1503.0558,300.02,3.20
11.0,0.0824,45.3615,0.0209,1503.3336,300.02,3.20
12.0,0.0824,45.3448,0.0208,1503.6114,300.02,3.20
13.0,0.0824,45.3280,0.0208,1503.8892,300.02,3.20
14.0,0.0825,45.3113,0.0208,1504.1670,300.02,3.20
15.0,0.0825,45.2946,0.0208,1504.4448,300.03,3.20
16.0,0.0825,45.2779,0.0208,1504.7226,300.03,3.20
17.0,0.0825,45.2612,0.0208,1505.0004,300.03,3.20
18.0,0.0826,45.2446,0.0208,1505.2782,300.03,3.20
19.0,0.0826,45.2279,0.0208,1505.5560,300.03,3.20
20.0,0.0826,45.2112,0.0208,1505.8338,300.03,3.20
21.0,0.0827,45.1946,0.0207,1506.1116,300.04,3.20
22.0,0.0827,45.1779,0.0207,1506.3894,300.04,3.21
23.0,0.0827,45.1613,0.0207,1506.6672,300.04,3.21
24.0,0.0828,45.1447,0.0207,1506.9450,300.04,3.21
25.0,0.0828,45.1281,0.0207,1507.2228,300.04,3.21
26.0,0.0828,45.1115,0.0207,1507.5006,300.05,3.21
27.0,0.0829,45.0949,0.0207,1507.7784,300.05,3.21
28.0,0.0829,45.0783,0.0207,1508.0562,300.05,3.21
29.0,0.0829,45.0617,0.0206,1508.3340,300.05,3.21
30.0,0.0829,45.0452,0.0206,1508.6118,300.05,3.21
31.0,0.0830,45.0286,0.0206,1508.8896,300.05,3.21
32.0,0.0830,45.0120,0.0206,1509.1674,300.06,3.21
33.0,0.0830,44.9955,0.0206,1509.4452,300.06,3.21
34.0,0.0831,44.9790,0.0206,1509.7230,300.06,3.21
35.0,0.0831,44.9625,0.0206,1510.0008,300.06,3.21
36.0,0.0831,44.9460,0.0206,1510.2786,300.06,3.21
37.0,0.0832,44.9294,0.0206,1510.5564,300.06,3.21
38.0,0.0832,44.9130,0.0205,1510.8342,300.07,3.21
39.0,0.0832,44.8965,0.0205,1511.1120,300.07,3.21
40.0,0.0832,44.8800,0.0205,1511.3898,300.07,3.21
41.0,0.0833,44.8635,0.0205,1511.6676,300.07,3.21
42.0,0.0833,44.8471,0.0205,1511.9454,300.07,3.21
43.0,0.0833,44.8306,0.0205,1512.2232,300.08,3.21
44.0,0.0834,44.8142,0.0205,1512.5010,300.08,3.21
45.0,0.0834,44.7978,0.0205,1512.7788,300.08,3.21
46.0,0.0834,44.7813,0.0204,1513.0566,300.08,3.21
47.0,0.0835,44.7649,0.0204,1513.3344,300.08,3.21
48.0,0.0835,44.7485,0.0204,1513.6122,300.08,3.21
49.0,0.0835,44.7321,0.0204,1513.8900,300.09,3.21
50.0,0.0836,44.7157,0.0204,1514.1678,300.09,3.21
51.0,0.0836,44.6994,0.0204,1514.4456,300.09,3.21
52.0,0.0836,44.6830,0.0204,1514.7234,300.09,3.21
53.0,0.0836,44.6666,0.0204,1515.0012,300.09,3.21
