Time (s),Biomass (g/L),Lactic Acid (g/L),Lactose (g/L),Volume (L),Temperature (K)
0.0       ,20.1000     ,4.0208         ,9045.0000      ,100.5000  ,300.00    
100.0     ,40.1000     ,8.0239         ,18044.9921     ,200.5000  ,300.31    
200.0     ,60.1000     ,12.0322        ,27044.9566     ,300.5000  ,300.63    
300.0     ,80.0999     ,16.0496        ,36044.8710     ,400.5000  ,300.94    
400.0     ,100.0999    ,20.0801        ,45044.7122     ,500.5000  ,301.24    
500.0     ,120.0997    ,24.1276        ,54044.4565     ,600.5000  ,301.55    
600.0     ,140.0994    ,28.1962        ,63044.0800     ,700.5000  ,301.84    
700.0     ,160.0990    ,32.2901        ,72043.5587     ,800.5000  ,302.13    
800.0     ,180.0984    ,36.4133        ,81042.8684     ,900.5000  ,302.41    
900.0     ,200.0976    ,40.5700        ,90041.9852     ,1000.5000 ,302.68    
1000.0    ,220.0967    ,44.7641        ,99040.8850     ,1100.5000 ,302.94    
1100.0    ,240.0954    ,48.9997        ,108039.5441    ,1200.5000 ,303.19    
1200.0    ,260.0939    ,53.2807        ,117037.9390    ,1300.5000 ,303.42    
1300.0    ,280.0920    ,57.6109        ,126036.0468    ,1400.5000 ,303.64    
1400.0    ,300.0898    ,61.9942        ,135033.8450    ,1500.5000 ,303.85    
1500.0    ,320.0872    ,66.4342        ,144031.3117    ,1600.5000 ,304.05    
1600.0    ,340.0841    ,70.9343        ,153028.4261    ,1700.5000 ,304.22    
1700.0    ,360.0805    ,75.4980        ,162025.1679    ,1800.5000 ,304.38    
1800.0    ,380.0765    ,80.1285        ,171021.5180    ,1900.5000 ,304.52    
1900.0    ,400.0719    ,84.8287        ,180017.4587    ,2000.5000 ,304.65    
2000.0    ,420.0666    ,89.6016        ,189012.9730    ,2100.5000 ,304.76    
2100.0    ,440.0608    ,94.4496        ,198008.0458    ,2200.5000 ,304.84    
2200.0    ,460.0543    ,99.3753        ,207002.6631    ,2300.5000 ,304.91    
2300.0    ,480.0470    ,104.3806       ,215996.8125    ,2400.5000 ,304.96    
2400.0    ,500.0391    ,109.4676       ,224990.4832    ,2500.5000 ,304.99    
2500.0    ,520.0303    ,114.6379       ,233983.6660    ,2600.5000 ,305.00    
2600.0    ,540.0207    ,119.8928       ,242976.3534    ,2700.5000 ,304.99    
2700.0    ,560.0103    ,125.2335       ,251968.5396    ,2800.5000 ,304.96    
2800.0    ,579.9990    ,130.6608       ,260960.2203    ,2900.5000 ,304.91    
2900.0    ,599.9868    ,136.1752       ,269951.3931    ,3000.5000 ,304.84    
3000.0    ,619.9736    ,141.7773       ,278942.0571    ,3100.5000 ,304.76    
3100.0    ,639.9595    ,147.4670       ,287932.2129    ,3200.5000 ,304.65    
3200.0    ,659.9444    ,153.2442       ,296921.8629    ,3300.5000 ,304.52    
3300.0    ,679.9283    ,159.1086       ,305911.0104    ,3400.5000 ,304.38    
3400.0    ,699.9112    ,165.0595       ,314899.6606    ,3500.5000 ,304.22    
3500.0    ,719.8930    ,171.0962       ,323887.8196    ,3600.5000 ,304.05    
3600.0    ,739.8738    ,177.2178       ,332875.4945    ,3700.5000 ,303.85    
3700.0    ,759.8536    ,183.4231       ,341862.6937    ,3800.5000 ,303.64    
3800.0    ,779.8323    ,189.7109       ,350849.4262    ,3900.5000 ,303.42    
3900.0    ,799.8099    ,196.0798       ,359835.7018    ,4000.5000 ,303.19    
4000.0    ,819.7865    ,202.5283       ,368821.5308    ,4100.5000 ,302.94    
4100.0    ,839.7619    ,209.0550       ,377806.9240    ,4200.5000 ,302.68    
4200.0    ,859.7364    ,215.6581       ,386791.8924    ,4300.5000 ,302.41    
4300.0    ,879.7097    ,222.3361       ,395776.4473    ,4400.5000 ,302.13    
