Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K)
0.0       ,0.1372      ,0.0241         ,41.2918        ,500.2778  ,300.00    
1.0       ,0.1373      ,0.0243         ,41.3376        ,500.5556  ,300.01    
2.0       ,0.1375      ,0.0244         ,41.3835        ,500.8334  ,300.01    
3.0       ,0.1376      ,0.0245         ,41.4294        ,501.1112  ,300.02    
4.0       ,0.1378      ,0.0247         ,41.4753        ,501.3890  ,300.02    
5.0       ,0.1379      ,0.0248         ,41.5212        ,501.6668  ,300.03    
6.0       ,0.1381      ,0.0249         ,41.5671        ,501.9446  ,300.03    
7.0       ,0.1382      ,0.0251         ,41.6131        ,502.2224  ,300.04    
8.0       ,0.1384      ,0.0252         ,41.6591        ,502.5002  ,300.04    
9.0       ,0.1385      ,0.0254         ,41.7051        ,502.7780  ,300.05    
10.0      ,0.1387      ,0.0255         ,41.7512        ,503.0558  ,300.05    
11.0      ,0.1388      ,0.0256         ,41.7973        ,503.3336  ,300.06    
12.0      ,0.1390      ,0.0258         ,41.8434        ,503.6114  ,300.06    
13.0      ,0.1391      ,0.0259         ,41.8895        ,503.8892  ,300.07    
14.0      ,0.1393      ,0.0260         ,41.9357        ,504.1670  ,300.07    
15.0      ,0.1394      ,0.0262         ,41.9819        ,504.4448  ,300.08    
16.0      ,0.1396      ,0.0263         ,42.0281        ,504.7226  ,300.08    
17.0      ,0.1398      ,0.0264         ,42.0743        ,505.0004  ,300.09    
18.0      ,0.1399      ,0.0266         ,42.1205        ,505.2782  ,300.09    
19.0      ,0.1401      ,0.0267         ,42.1668        ,505.5560  ,300.10    
20.0      ,0.1402      ,0.0268         ,42.2131        ,505.8338  ,300.10    
21.0      ,0.1404      ,0.0270         ,42.2595        ,506.1116  ,300.11    
22.0      ,0.1405      ,0.0271         ,42.3058        ,506.3894  ,300.12    
23.0      ,0.1407      ,0.0272         ,42.3522        ,506.6672  ,300.12    
24.0      ,0.1408      ,0.0274         ,42.3986        ,506.9450  ,300.13    
25.0      ,0.1410      ,0.0275         ,42.4451        ,507.2228  ,300.13    
26.0      ,0.1411      ,0.0276         ,42.4915        ,507.5006  ,300.14    
27.0      ,0.1413      ,0.0278         ,42.5380        ,507.7784  ,300.14    
28.0      ,0.1414      ,0.0279         ,42.5845        ,508.0562  ,300.15    
29.0      ,0.1416      ,0.0280         ,42.6310        ,508.3340  ,300.15    
30.0      ,0.1418      ,0.0282         ,42.6776        ,508.6118  ,300.16    
31.0      ,0.1419      ,0.0283         ,42.7242        ,508.8896  ,300.16    
32.0      ,0.1421      ,0.0284         ,42.7708        ,509.1674  ,300.17    
33.0      ,0.1422      ,0.0286         ,42.8174        ,509.4452  ,300.17    
34.0      ,0.1424      ,0.0287         ,42.8641        ,509.7230  ,300.18    
35.0      ,0.1425      ,0.0288         ,42.9108        ,510.0008  ,300.18    
36.0      ,0.1427      ,0.0290         ,42.9575        ,510.2786  ,300.19    
37.0      ,0.1428      ,0.0291         ,43.0042        ,510.5564  ,300.19    
38.0      ,0.1430      ,0.0292         ,43.0510        ,510.8342  ,300.20    
