Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL)
0.0,0.0820,45.5462,0.0210
1.0,0.0821,45.5293,0.0210
2.0,0.0821,45.5125,0.0210
3.0,0.0821,45.4957,0.0210
4.0,0.0822,45.4789,0.0209
5.0,0.0822,45.4621,0.0209
6.0,0.0822,45.4453,0.0209
7.0,0.0822,45.4285,0.0209
8.0,0.0823,45.4117,0.0209
9.0,0.0823,45.3950,0.0209
10.0,0.0823,45.3782,0.0209
11.0,0.0824,45.3615,0.0209
12.0,0.0824,45.3448,0.0208
13.0,0.0824,45.3280,0.0208
14.0,0.0825,45.3113,0.0208
15.0,0.0825,45.2946,0.0208
16.0,0.0825,45.2779,0.0208
17.0,0.0825,45.2612,0.0208
18.0,0.0826,45.2446,0.0208
19.0,0.0826,45.2279,0.0208
20.0,0.0826,45.2112,0.0208
21.0,0.0827,45.1946,0.0207
22.0,0.0827,45.1779,0.0207
23.0,0.0827,45.1613,0.0207
24.0,0.0828,45.1447,0.0207
25.0,0.0828,45.1281,0.0207
26.0,0.0828,45.1115,0.0207
27.0,0.0829,45.0949,0.0207
28.0,0.0829,45.0783,0.0207
29.0,0.0829,45.0617,0.0206
30.0,0.0829,45.0452,0.0206
31.0,0.0830,45.0286,0.0206
32.0,0.0830,45.0120,0.0206
33.0,0.0830,44.9955,0.0206
34.0,0.0831,44.9790,0.0206
35.0,0.0831,44.9625,0.0206
36.0,0.0831,44.9460,0.0206
37.0,0.0832,44.9294,0.0206
38.0,0.0832,44.9130,0.0205
39.0,0.0832,44.8965,0.0205
40.0,0.0832,44.8800,0.0205
41.0,0.0833,44.8635,0.0205
42.0,0.0833,44.8471,0.0205
43.0,0.0833,44.8306,0.0205
44.0,0.0834,44.8142,0.0205
45.0,0.0834,44.7978,0.0205
46.0,0.0834,44.7813,0.0204
47.0,0.0835,44.7649,0.0204
48.0,0.0835,44.7485,0.0204
49.0,0.0835,44.7321,0.0204
50.0,0.0836,44.7157,0.0204
51.0,0.0836,44.6994,0.0204
52.0,0.0836,44.6830,0.0204
53.0,0.0836,44.6666,0.0204
54.0,0.0837,44.6503,0.0203
55.0,0.0837,44.6340,0.0203
56.0,0.0837,44.6176,0.0203
57.0,0.0838,44.6013,0.0203
58.0,0.0838,44.5850,0.0203
59.0,0.0838,44.5687,0.0203
60.0,0.0839,44.5524,0.0203
61.0,0.0839,44.5361,0.0203
62.0,0.0839,44.5198,0.0202
63.0,0.0840,44.5036,0.0202
64.0,0.0840,44.4873,0.0202
65.0,0.0840,44.4711,0.0202
66.0,0.0840,44.4548,0.0202
67.0,0.0841,44.4386,0.0202
68.0,0.0841,44.4224,0.0202
69.0,0.0841,44.4062,0.0202
70.0,0.0842,44.3900,0.0201
71.0,0.0842,44.3738,0.0201
72.0,0.0842,44.3576,0.0201
73.0,0.0843,44.3414,0.0201
74.0,0.0843,44.3252,0.0201
75.0,0.0843,44.3091,0.0201
76.0,0.0844,44.2929,0.0201
77.0,0.0844,44.2768,0.0201
78.0,0.0844,44.2606,0.0200
79.0,0.0844,44.2445,0.0200
80.0,0.0845,44.2284,0.0200
81.0,0.0845,44.2123,0.0200
82.0,0.0845,44.1962,0.0200
83.0,0.0846,44.1801,0.0200
84.0,0.0846,44.1640,0.0200
