time,biomass,lactic acid,lactose
0.0,0.1372,41.2003,0.0240
1.0,0.1373,41.1547,0.0240
2.0,0.1375,41.1092,0.0240
3.0,0.1376,41.0638,0.0240
4.0,0.1378,41.0184,0.0240
5.0,0.1379,40.9731,0.0240
6.0,0.1381,40.9279,0.0240
7.0,0.1382,40.8828,0.0240
8.0,0.1384,40.8377,0.0239
9.0,0.1385,40.7927,0.0239
10.0,0.1387,40.7478,0.0239
11.0,0.1388,40.7029,0.0239
12.0,0.1390,40.6582,0.0239
13.0,0.1391,40.6135,0.0239
14.0,0.1393,40.5689,0.0239
15.0,0.1394,40.5243,0.0239
16.0,0.1396,40.4799,0.0239
17.0,0.1398,40.4355,0.0239
18.0,0.1399,40.3911,0.0239
19.0,0.1401,40.3469,0.0239
20.0,0.1402,40.3027,0.0239
21.0,0.1404,40.2586,0.0239
22.0,0.1405,40.2146,0.0239
23.0,0.1407,40.1706,0.0239
24.0,0.1408,40.1267,0.0238
25.0,0.1410,40.0829,0.0238
26.0,0.1411,40.0392,0.0238
27.0,0.1413,39.9955,0.0238
28.0,0.1414,39.9519,0.0238
29.0,0.1416,39.9084,0.0238
30.0,0.1418,39.8649,0.0238
31.0,0.1419,39.8215,0.0238
32.0,0.1421,39.7782,0.0238
33.0,0.1422,39.7350,0.0238
34.0,0.1424,39.6918,0.0238
35.0,0.1425,39.6487,0.0238
36.0,0.1427,39.6057,0.0238
37.0,0.1428,39.5627,0.0237
38.0,0.1430,39.5198,0.0237
39.0,0.1432,39.4770,0.0237
40.0,0.1433,39.4343,0.0237
41.0,0.1435,39.3916,0.0237
42.0,0.1436,39.3490,0.0237
43.0,0.1438,39.3065,0.0237
44.0,0.1439,39.2640,0.0237
45.0,0.1441,39.2216,0.0237
46.0,0.1442,39.1793,0.0237
47.0,0.1444,39.1370,0.0237
48.0,0.1446,39.0948,0.0237
49.0,0.1447,39.0527,0.0236
50.0,0.1449,39.0106,0.0236
51.0,0.1450,38.9686,0.0236
52.0,0.1452,38.9267,0.0236
53.0,0.1453,38.8849,0.0236
54.0,0.1455,38.8431,0.0236
55.0,0.1457,38.8014,0.0236
