Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K),pH
0.0,0.0400,44.1183,0.0230,1500.2778,300.00,3.22
1.0,0.0400,44.1346,0.0230,1500.5556,300.01,3.22
2.0,0.0400,44.1510,0.0231,1500.8334,300.01,3.22
3.0,0.0401,44.1673,0.0231,1501.1112,300.02,3.21
4.0,0.0401,44.1836,0.0231,1501.3890,300.02,3.21
5.0,0.0401,44.2000,0.0231,1501.6668,300.03,3.21
6.0,0.0401,44.2163,0.0231,1501.9446,300.03,3.21
7.0,0.0401,44.2326,0.0231,1502.2224,300.04,3.21
8.0,0.0401,44.2490,0.0232,1502.5002,300.05,3.21
9.0,0.0401,44.2653,0.0232,1502.7780,300.05,3.21
10.0,0.0402,44.2817,0.0232,1503.0558,300.06,3.21
11.0,0.0402,44.2980,0.0232,1503.3336,300.06,3.21
12.0,0.0402,44.3144,0.0232,1503.6114,300.07,3.21
13.0,0.0402,44.3307,0.0233,1503.8892,300.08,3.21
14.0,0.0402,44.3471,0.0233,1504.1670,300.08,3.21
15.0,0.0402,44.3635,0.0233,1504.4448,300.09,3.21
16.0,0.0403,44.3798,0.0233,1504.7226,300.09,3.21
17.0,0.0403,44.3962,0.0233,1505.0004,300.10,3.21
18.0,0.0403,44.4126,0.0233,1505.2782,300.10,3.21
19.0,0.0403,44.4290,0.0234,1505.5560,300.11,3.21
20.0,0.0403,44.4453,0.0234,1505.8338,300.12,3.21
21.0,0.0403,44.4617,0.0234,1506.1116,300.12,3.21
22.0,0.0403,44.4781,0.0234,1506.3894,300.13,3.21
23.0,0.0404,44.4945,0.0234,1506.6672,300.13,3.21
24.0,0.0404,44.5109,0.0235,1506.9450,300.14,3.21
25.0,0.0404,44.5273,0.0235,1507.2228,300.15,3.21
26.0,0.0404,44.5437,0.0235,1507.5006,300.15,3.21
27.0,0.0404,44.5601,0.0235,1507.7784,300.16,3.21
28.0,0.0404,44.5765,0.0235,1508.0562,300.16,3.21
29.0,0.0404,44.5929,0.0235,1508.3340,300.17,3.21
30.0,0.0405,44.6093,0.0236,1508.6118,300.17,3.21
31.0,0.0405,44.6257,0.0236,1508.8896,300.18,3.21
32.0,0.0405,44.6421,0.0236,1509.1674,300.19,3.21
33.0,0.0405,44.6586,0.0236,1509.4452,300.19,3.21
34.0,0.0405,44.6750,0.0236,1509.7230,300.20,3.21
35.0,0.0405,44.6914,0.0237,1510.0008,300.20,3.21
36.0,0.0405,44.7078,0.0237,1510.2786,300.21,3.21
37.0,0.0406,44.7243,0.0237,1510.5564,300.22,3.21
38.0,0.0406,44.7407,0.0237,1510.8342,300.22,3.21
39.0,0.0406,44.7571,0.0237,1511.1120,300.23,3.21
40.0,0.0406,44.7736,0.0237,1511.3898,300.23,3.21
41.0,0.0406,44.7900,0.0238,1511.6676,300.24,3.21
42.0,0.0406,44.8065,0.0238,1511.9454,300.24,3.21
43.0,0.0407,44.8229,0.0238,1512.2232,300.25,3.21
44.0,0.0407,44.8394,0.0238,1512.5010,300.26,3.21
45.0,0.0407,44.8558,0.0238,1512.7788,300.26,3.21
46.0,0.0407,44.8723,0.0239,1513.0566,300.27,3.21
47.0,0.0407,44.8887,0.0239,1513.3344,300.27,3.21
48.0,0.0407,44.9052,0.0239,1513.6122,300.28,3.21
49.0,0.0407,44.9217,0.0239,1513.8900,300.28,3.21
50.0,0.0408,44.9381,0.0239,1514.1678,300.29,3.21
51.0,0.0408,44.9546,0.0239,1514.4456,300.30,3.21
52.0,0.0408,44.9711,0.0240,1514.7234,300.30,3.21
53.0,0.0408,44.9876,0.0240,1515.0012,300.31,3.21
54.0,0.0408,45.0041,0.0240,1515.2790,300.31,3.21
55.0,0.0408,45.0205,0.0240,1515.5568,300.32,3.21
56.0,0.0408,45.0370,0.0240,1515.8346,300.33,3.21
57.0,0.0409,45.0535,0.0241,1516.1124,300.33,3.21
58.0,0.0409,45.0700,0.0241,1516.3902,300.34,3.21
59.0,0.0409,45.0865,0.0241,1516.6680,300.34,3.21
60.0,0.0409,45.1030,0.0241,1516.9458,300.35,3.21
61.0,0.0409,45.1195,0.0241,1517.2236,300.35,3.21
62.0,0.0409,45.1360,0.0242,1517.5014,300.36,3.21
63.0,0.0410,45.1525,0.0242,1517.7792,300.37,3.21
64.0,0.0410,45.1690,0.0242,1518.0570,300.37,3.21
65.0,0.0410,45.1856,0.0242,1518.3348,300.38,3.21
66.0,0.0410,45.2021,0.0242,1518.6126,300.38,3.20
67.0,0.0410,45.2186,0.0242,1518.8904,300.39,3.20
68.0,0.0410,45.2351,0.0243,1519.1682,300.40,3.20
69.0,0.0410,45.2517,0.0243,1519.4460,300.40,3.20
70.0,0.0411,45.2682,0.0243,1519.7238,300.41,3.20
71.0,0.0411,45.2847,0.0243,1520.0016,300.41,3.20
72.0,0.0411,45.3013,0.0243,1520.2794,300.42,3.20
73.0,0.0411,45.3178,0.0244,1520.5572,300.42,3.20
74.0,0.0411,45.3343,0.0244,1520.8350,300.43,3.20
75.0,0.0411,45.3509,0.0244,1521.1128,300.44,3.20
76.0,0.0411,45.3674,0.0244,1521.3906,300.44,3.20
77.0,0.0412,45.3840,0.0244,1521.6684,300.45,3.20
78.0,0.0412,45.4005,0.0245,1521.9462,300.45,3.20
79.0,0.0412,45.4171,0.0245,1522.2240,300.46,3.20
80.0,0.0412,45.4337,0.0245,1522.5018,300.46,3.20
81.0,0.0412,45.4502,0.0245,1522.7796,300.47,3.20
82.0,0.0412,45.4668,0.0245,1523.0574,300.48,3.20
83.0,0.0413,45.4834,0.0245,1523.3352,300.48,3.20
84.0,0.0413,45.4999,0.0246,1523.6130,300.49,3.20
85.0,0.0413,45.5165,0.0246,1523.8908,300.49,3.20
86.0,0.0413,45.5331,0.0246,1524.1686,300.50,3.20
87.0,0.0413,45.5497,0.0246,1524.4464,300.51,3.20
88.0,0.0413,45.5663,0.0246,1524.7242,300.51,3.20
89.0,0.0413,45.5828,0.0247,1525.0020,300.52,3.20
90.0,0.0414,45.5994,0.0247,1525.2798,300.52,3.20
91.0,0.0414,45.6160,0.0247,1525.5576,300.53,3.20
92.0,0.0414,45.6326,0.0247,1525.8354,300.53,3.20
93.0,0.0414,45.6492,0.0247,1526.1132,300.54,3.20
94.0,0.0414,45.6658,0.0248,1526.3910,300.55,3.20
95.0,0.0414,45.6824,0.0248,1526.6688,300.55,3.20
96.0,0.0414,45.6990,0.0248,1526.9466,300.56,3.20
97.0,0.0415,45.7157,0.0248,1527.2244,300.56,3.20
98.0,0.0415,45.7323,0.0248,1527.5022,300.57,3.20
99.0,0.0415,45.7489,0.0249,1527.7800,300.57,3.20
100.0,0.0415,45.7655,0.0249,1528.0578,300.58,3.20
101.0,0.0415,45.7821,0.0249,1528.3356,300.59,3.20
102.0,0.0415,45.7988,0.0249,1528.6134,300.59,3.20
103.0,0.0416,45.8154,0.0249,1528.8912,300.60,3.20
104.0,0.0416,45.8320,0.0249,1529.1690,300.60,3.20
105.0,0.0416,45.8487,0.0250,1529.4468,300.61,3.20
106.0,0.0416,45.8653,0.0250,1529.7246,300.62,3.20
107.0,0.0416,45.8819,0.0250,1530.0024,300.62,3.20
108.0,0.0416,45.8986,0.0250,1530.2802,300.63,3.20
109.0,0.0416,45.9152,0.0250,1530.5580,300.63,3.20
110.0,0.0417,45.9319,0.0251,1530.8358,300.64,3.20
111.0,0.0417,45.9485,0.0251,1531.1136,300.64,3.20
112.0,0.0417,45.9652,0.0251,1531.3914,300.65,3.20
113.0,0.0417,45.9819,0.0251,1531.6692,300.66,3.20
114.0,0.0417,45.9985,0.0251,1531.9470,300.66,3.20
115.0,0.0417,46.0152,0.0252,1532.2248,300.67,3.20
116.0,0.0418,46.0319,0.0252,1532.5026,300.67,3.20
117.0,0.0418,46.0485,0.0252,1532.7804,300.68,3.20
118.0,0.0418,46.0652,0.0252,1533.0582,300.68,3.20
119.0,0.0418,46.0819,0.0252,1533.3360,300.69,3.20
120.0,0.0418,46.0986,0.0253,1533.6138,300.70,3.20
121.0,0.0418,46.1153,0.0253,1533.8916,300.70,3.20
122.0,0.0418,46.1319,0.0253,1534.1694,300.71,3.20
123.0,0.0419,46.1486,0.0253,1534.4472,300.71,3.20
124.0,0.0419,46.1653,0.0253,1534.7250,300.72,3.20
125.0,0.0419,46.1820,0.0254,1535.0028,300.72,3.20
126.0,0.0419,46.1987,0.0254,1535.2806,300.73,3.20
127.0,0.0419,46.2154,0.0254,1535.5584,300.74,3.20
128.0,0.0419,46.2321,0.0254,1535.8362,300.74,3.20
129.0,0.0419,46.2488,0.0254,1536.1140,300.75,3.19
130.0,0.0420,46.2656,0.0254,1536.3918,300.75,3.19
131.0,0.0420,46.2823,0.0255,1536.6696,300.76,3.19
132.0,0.0420,46.2990,0.0255,1536.9474,300.77,3.19
133.0,0.0420,46.3157,0.0255,1537.2252,300.77,3.19
134.0,0.0420,46.3324,0.0255,1537.5030,300.78,3.19
135.0,0.0420,46.3492,0.0255,1537.7808,300.78,3.19
136.0,0.0421,46.3659,0.0256,1538.0586,300.79,3.19
137.0,0.0421,46.3826,0.0256,1538.3364,300.79,3.19
138.0,0.0421,46.3994,0.0256,1538.6142,300.80,3.19
139.0,0.0421,46.4161,0.0256,1538.8920,300.81,3.19
140.0,0.0421,46.4328,0.0256,1539.1698,300.81,3.19
141.0,0.0421,46.4496,0.0257,1539.4476,300.82,3.19
142.0,0.0421,46.4663,0.0257,1539.7254,300.82,3.19
143.0,0.0422,46.4831,0.0257,1540.0032,300.83,3.19
144.0,0.0422,46.4998,0.0257,1540.2810,300.83,3.19
145.0,0.0422,46.5166,0.0257,1540.5588,300.84,3.19
146.0,0.0422,46.5333,0.0258,1540.8366,300.85,3.19
147.0,0.0422,46.5501,0.0258,1541.1144,300.85,3.19
148.0,0.0422,46.5669,0.0258,1541.3922,300.86,3.19
149.0,0.0423,46.5836,0.0258,1541.6700,300.86,3.19
150.0,0.0423,46.6004,0.0258,1541.9478,300.87,3.19
151.0,0.0423,46.6172,0.0259,1542.2256,300.87,3.19
152.0,0.0423,46.6340,0.0259,1542.5034,300.88,3.19
153.0,0.0423,46.6508,0.0259,1542.7812,300.89,3.19
154.0,0.0423,46.6675,0.0259,1543.0590,300.89,3.19
155.0,0.0423,46.6843,0.0259,1543.3368,300.90,3.19
156.0,0.0424,46.7011,0.0260,1543.6146,300.90,3.19
157.0,0.0424,46.7179,0.0260,1543.8924,300.91,3.19
158.0,0.0424,46.7347,0.0260,1544.1702,300.91,3.19
159.0,0.0424,46.7515,0.0260,1544.4480,300.92,3.19
160.0,0.0424,46.7683,0.0260,1544.7258,300.93,3.19
