Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K),pH
0.0       ,0.1372      ,41.2003       ,0.0240      ,500.2778    ,300.00      ,3.25  
1.0       ,0.1373      ,41.1547       ,0.0240      ,500.5556    ,300.00      ,3.25  
2.0       ,0.1375      ,41.1092       ,0.0240      ,500.8334    ,300.00      ,3.25  
3.0       ,0.1376      ,41.0638       ,0.0240      ,501.1112    ,300.01      ,3.25  
4.0       ,0.1378      ,41.0184       ,0.0240      ,501.3890    ,300.01      ,3.25  
5.0       ,0.1379      ,40.9731       ,0.0240      ,501.6668    ,300.01      ,3.25  
6.0       ,0.1381      ,40.9279       ,0.0240      ,501.9446    ,300.01      ,3.25  
7.0       ,0.1382      ,40.8828       ,0.0240      ,502.2224    ,300.01      ,3.25  
8.0       ,0.1384      ,40.8377       ,0.0239      ,502.5002    ,300.01      ,3.25  
9.0       ,0.1385      ,40.7927       ,0.0239      ,502.7780    ,300.02      ,3.25  
10.0      ,0.1387      ,40.7478       ,0.0239      ,503.0558    ,300.02      ,3.25  
11.0      ,0.1388      ,40.7029       ,0.0239      ,503.3336    ,300.02      ,3.25  
12.0      ,0.1390      ,40.6582       ,0.0239      ,503.6114    ,300.02      ,3.25  
13.0      ,0.1391      ,40.6135       ,0.0239      ,503.8892    ,300.02      ,3.25  
14.0      ,0.1393      ,40.5689       ,0.0239      ,504.1670    ,300.02      ,3.25  
15.0      ,0.1394      ,40.5243       ,0.0239      ,504.4448    ,300.03      ,3.25  
16.0      ,0.1396      ,40.4799       ,0.0239      ,504.7226    ,300.03      ,3.25  
17.0      ,0.1398      ,40.4355       ,0.0239      ,505.0004    ,300.03      ,3.25  
18.0      ,0.1399      ,40.3911       ,0.0239      ,505.2782    ,300.03      ,3.25  
19.0      ,0.1401      ,40.3469       ,0.0239      ,505.5560    ,300.03      ,3.25  
20.0      ,0.1402      ,40.3027       ,0.0239      ,505.8338    ,300.03      ,3.25  
21.0      ,0.1404      ,40.2586       ,0.0239      ,506.1116    ,300.04      ,3.26  
22.0      ,0.1405      ,40.2146       ,0.0239      ,506.3894    ,300.04      ,3.26  
23.0      ,0.1407      ,40.1706       ,0.0239      ,506.6672    ,300.04      ,3.26  
24.0      ,0.1408      ,40.1267       ,0.0238      ,506.9450    ,300.04      ,3.26  
25.0      ,0.1410      ,40.0829       ,0.0238      ,507.2228    ,300.04      ,3.26  
26.0      ,0.1411      ,40.0392       ,0.0238      ,507.5006    ,300.05      ,3.26  
27.0      ,0.1413      ,39.9955       ,0.0238      ,507.7784    ,300.05      ,3.26  
28.0      ,0.1414      ,39.9519       ,0.0238      ,508.0562    ,300.05      ,3.26  
29.0      ,0.1416      ,39.9084       ,0.0238      ,508.3340    ,300.05      ,3.26  
30.0      ,0.1418      ,39.8649       ,0.0238      ,508.6118    ,300.05      ,3.26  
31.0      ,0.1419      ,39.8215       ,0.0238      ,508.8896    ,300.05      ,3.26  
32.0      ,0.1421      ,39.7782       ,0.0238      ,509.1674    ,300.06      ,3.26  
