Time (s),Biomass (g/L),Lactic Acid (g/L),Lactose (g/L),Volume (L),Temperature (K)
0.0       ,40.1000     ,34.6206        ,18044.9977     ,100.5000  ,300.00    
100.0     ,119.9009    ,156.7843       ,53954.4813     ,200.5000  ,300.31    
200.0     ,239.5011    ,393.2827       ,107771.4901    ,300.5000  ,300.63    
300.0     ,398.8942    ,762.1550       ,179493.6569    ,400.5000  ,300.94    
400.0     ,598.0637    ,1277.0664      ,269118.3568    ,500.5000  ,301.24    
500.0     ,836.9767    ,1949.0454      ,376642.7674    ,600.5000  ,301.55    
600.0     ,1115.5763   ,2787.3469      ,502063.9013    ,700.5000  ,301.84    
700.0     ,1433.7732   ,3799.9374      ,645378.6265    ,800.5000  ,302.13    
800.0     ,1791.4360   ,4993.7908      ,806583.6832    ,900.5000  ,302.41    
900.0     ,2188.3813   ,6375.0791      ,985675.6982    ,1000.5000 ,302.68    
1000.0    ,2624.3623   ,7949.2984      ,1182651.1992   ,1100.5000 ,302.94    
1100.0    ,3099.0578   ,9721.3539      ,1397506.6299   ,1200.5000 ,303.19    
1200.0    ,3612.0604   ,11695.6176     ,1630238.3659   ,1300.5000 ,303.42    
1300.0    ,4162.8644   ,13875.9670     ,1880842.7321   ,1400.5000 ,303.64    
1400.0    ,4750.8548   ,16265.8107     ,2149316.0212   ,1500.5000 ,303.85    
1500.0    ,5375.2957   ,18868.1041     ,2435654.5137   ,1600.5000 ,304.05    
1600.0    ,6035.3205   ,21685.3597     ,2739854.4993   ,1700.5000 ,304.22    
1700.0    ,6729.9229   ,24719.6526     ,3061912.2987   ,1800.5000 ,304.38    
1800.0    ,7457.9492   ,27972.6239     ,3401824.2873   ,1900.5000 ,304.52    
1900.0    ,8218.0933   ,31445.4835     ,3759586.9185   ,2000.5000 ,304.65    
2000.0    ,9008.8924   ,35139.0130     ,4135196.7471   ,2100.5000 ,304.76    
2100.0    ,9828.7272   ,39053.5707     ,4528650.4536   ,2200.5000 ,304.84    
2200.0    ,10675.8227  ,43189.0984     ,4939944.8659   ,2300.5000 ,304.91    
2300.0    ,11548.2537  ,47545.1309     ,5369076.9821   ,2400.5000 ,304.96    
2400.0    ,12443.9518  ,52120.8101     ,5816043.9897   ,2500.5000 ,304.99    
2500.0    ,13360.7161  ,56914.9017     ,6280843.2846   ,2600.5000 ,305.00    
2600.0    ,14296.2263  ,61925.8164     ,6763472.4863   ,2700.5000 ,304.99    
