time,biomass,lactic acid,lactose
0.0,0.0400,44.0857,0.0230
1.0,0.0400,44.0694,0.0230
2.0,0.0400,44.0531,0.0230
3.0,0.0401,44.0368,0.0230
4.0,0.0401,44.0205,0.0230
5.0,0.0401,44.0042,0.0230
6.0,0.0401,43.9880,0.0230
7.0,0.0401,43.9717,0.0230
8.0,0.0401,43.9554,0.0230
9.0,0.0401,43.9392,0.0230
10.0,0.0402,43.9230,0.0230
11.0,0.0402,43.9068,0.0230
12.0,0.0402,43.8906,0.0230
13.0,0.0402,43.8743,0.0230
14.0,0.0402,43.8582,0.0230
15.0,0.0402,43.8420,0.0230
16.0,0.0403,43.8258,0.0230
17.0,0.0403,43.8096,0.0230
18.0,0.0403,43.7935,0.0230
19.0,0.0403,43.7773,0.0230
20.0,0.0403,43.7612,0.0230
21.0,0.0403,43.7451,0.0230
22.0,0.0403,43.7289,0.0230
23.0,0.0404,43.7128,0.0230
24.0,0.0404,43.6967,0.0230
25.0,0.0404,43.6806,0.0230
26.0,0.0404,43.6645,0.0230
27.0,0.0404,43.6485,0.0230
28.0,0.0404,43.6324,0.0230
29.0,0.0404,43.6163,0.0230
30.0,0.0405,43.6003,0.0230
31.0,0.0405,43.5842,0.0230
32.0,0.0405,43.5682,0.0230
33.0,0.0405,43.5522,0.0230
34.0,0.0405,43.5362,0.0230
35.0,0.0405,43.5202,0.0230
36.0,0.0405,43.5042,0.0230
37.0,0.0406,43.4882,0.0230
38.0,0.0406,43.4722,0.0230
39.0,0.0406,43.4562,0.0230
40.0,0.0406,43.4403,0.0230
41.0,0.0406,43.4243,0.0230
42.0,0.0406,43.4084,0.0230
43.0,0.0407,43.3924,0.0230
44.0,0.0407,43.3765,0.0230
45.0,0.0407,43.3606,0.0230
46.0,0.0407,43.3447,0.0230
47.0,0.0407,43.3288,0.0230
48.0,0.0407,43.3129,0.0229
49.0,0.0407,43.2970,0.0229
50.0,0.0408,43.2811,0.0229
51.0,0.0408,43.2653,0.0229
52.0,0.0408,43.2494,0.0229
53.0,0.0408,43.2336,0.0229
